source,topic,question,answer,type,cert
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Nucleus,Cellular structure or organelle that contains the majority of the cell’s genetic material in the form of chromosomes.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Organelles,"Tiny cellular structures that perform specific functions within a cell. Examples include nuclei, mitochondria, lysosomes, ribosomes, and the endoplasmic reticulum.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Osteoblasts,Special cells that form and lay down new bone tissue.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Osteoclasts,Special cells that break down and remove old bone tissue.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Osteokinematics,Movement of a limb that is visible.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Osteoporosis,"A condition of reduced bone mineral density, which increases risk of bone fracture.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Parasympathetic nervous system,Subdivision of the autonomic nervous system that works to decrease neural activity and put the body in a more relaxed state.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Perimysium,Connective tissue surrounding a muscle fascicle.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Peripheral nervous system (PNS),Nerves that connect the rest of the body to the central nervous system.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Power stroke,"The myosin heads bind to actin and pull them toward the sarcomere center, which slides the filaments past each other, shortening the muscle.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Processes,Projections protruding from the bone where tendons and ligaments can attach.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Proprioception,The body’s ability to naturally sense its general orientation and relative position of its parts.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Remodeling,The process by which bone is constantly renewed by the resorption and formation of the bone structure.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Resting length,The length of a muscle when it is not actively contracting or being stretched.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Sarcomere,The structural unit of a myofibril composed of actin and myosin filaments between two Z-lines.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Sensory function,Ability of the nervous system to sense changes in either the internal or external environment.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Skeletal system,A description of the bones of the body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Sliding ﬁlament theory,"The series of steps in muscle contraction involving how myosin (thick) and actin (thin) filaments slide past one another to produce a muscle contraction, shortening the entire length of the sarcomere.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Somatic nervous system,Nerves that serve the outer areas of the body and skeletal muscle and are largely responsible for the voluntary control of movement.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Spinal cord,Bundle of nerves housed within the vertebrae.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Stretch reﬂex,Neurological signal from the muscle spindle that causes a muscle to contract to prevent excessive lengthening.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Sympathetic nervous system,Subdivision of the autonomic nervous system that works to increase neural activity and put the body in a heightened state.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Synapse,A junction or small gap between the motor neuron and muscle cells.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Synovial joints,A joint with a fluid-filled joint capsule.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Type I muscle ﬁbers,"Muscle fibers that are small in size, generate lower amounts of force, and are more resistant to fatigue.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Type II muscle ﬁbers,"Muscle fibers that are larger in size, generate higher amounts of force, and are faster to fatigue.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Vertebral column,"Bones that house the spinal cord; consists of the cervical, thoracic, and lumbosacral regions.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Wolff’s law,Scientific explanation of how remodeling (new bone growth) occurs along the lines of stress placed on the bone.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 05,"The Nervous, Skeletal, and Muscular Systems",Z-line,The meeting point of each sarcomere.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Absorption,The process of nutrients being absorbed into the body during the digestive process.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Adrenal gland,"A gland, located just above the kidneys, responsible for the secretion of catecholamines and cortisol.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Anabolic,Metabolic process that synthesizes smaller molecules into larger units used for building and repairing tissues.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Angiogenesis,The formation of new capillaries from existing blood vessels.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Arteries,Vessels that transport blood away from the heart.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Arterioles,Small arteries that eventually divide into capillaries.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Atrioventricular (AV) node,"Located between the atria and ventricles, this node delays the impulse from the sinoatrial node before allowing it to pass to the ventricles.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Atrium (atria),Superior chamber(s) of the heart that gathers blood returning to the heart.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Basal metabolic rate (BMR),The amount of energy required to maintain the body at rest.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Blood pressure (BP),The outward pressure exerted by the blood on the vessel walls; reported as systolic/ diastolic.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Blood vessels,Network of hollow tubes that circulates blood throughout the body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Blood,"Fluid that circulates in the heart, arteries, capillaries, and veins; it carries nutrients and oxygen to all parts of the body and also transports waste products from the body to other compartments or organs for either processing (e.g., liver) or excretion (e.g., kidney).",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Bradycardia,When the heart rate is less than 60 beats per minute.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Bradypnea,Respiratory rate that is too slow; fewer than 8 breaths per minute.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Calcitonin,Thyroid hormone that helps the body use calcium properly to aid with maintaining bone mineral density.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Cardiac muscle,Muscle of the heart.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Cardiac output (Q),The overall performance of the heart (heart rate × stroke volume).,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Cardiorespiratory system,"A system of the body composed of the heart, blood, blood vessels, lungs, and airways.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Cardiovascular system,"A system of the body, also known as the circulatory system, that transports blood to tissues of the body.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Catabolic,Metabolic process that breaks down molecules into smaller units used for energy.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Catecholamines,Hormones produced by the adrenal glands that are part of the stress response known as the fight-or-flight response.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Chyme,A semifluid mass of digested food that is passed from the stomach to the small intestine.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Diaphragmatic breathing,Breathing deeply by allowing the expansion of the abdominal area.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Diffusion,The process of getting oxygen from the environment to the tissues of the body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Digestion,Multistep process that describes the passage of food through the body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Duodenum,Part of the small intestine that resides between the stomach and the jejunum.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Dyspnea,Shortness of breath or labored breathing.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",End-diastolic volume,The filled volume of the ventricle before contraction.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",End-systolic volume,The volume of blood remaining in the ventricle after ejection.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Enzyme,A substance in the body that causes a specific reaction or change.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Esophagus,The anatomical part of the digestive tract that allows food to pass from oral cavity to stomach.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Expiration,The process of actively or passively relaxing the inspiratory muscles to move air out of the body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Gall bladder,"An organ found below the liver, on the right side of the body, that receives bile from the liver and secretes it into the duodenum.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Glands,Cells that release substances into the bloodstream (such as hormones) or other surface of the body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Glucagon,A hormone secreted by the pancreas that regulates blood glucose and functions opposite to insulin.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Gluconeogenesis,The formation of glucose from noncarbohydrate sources (proteins and fats).,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Glucose intolerance,A condition that results in elevated blood glucose levels.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Growth factors,"Substances within the blood that attach to cells, aid in growth and development, and help with healing after injury",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Growth hormone,An anabolic hormone produced by the pituitary gland that is responsible for growth and development.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Heart rate (HR),The measurement of the number of times a heart beats within a specified time period (usually 1 minute).,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Hormone,Chemical messenger released from a gland that travels to cells to activate a specific function.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Hypothalamus,A gland located in the brain that communicates with the pituitary gland.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Ileum,"The final section of the small intestine, located between the jejunum and the cecum and leads to the large intestine.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Ingestion,"The act of taking food, liquid, or other substances into the body in preparation for digestion.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Inspiration,The process of contracting the inspiratory muscles to move air into the body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Insulin-like growth factors (IGF),"Anabolic hormone produced by the liver, which is responsible for growth and development.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Insulin,A hormone secreted by the pancreas that is responsible for glucose metabolism.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Intercalated discs,"Found in the heart, these formations help hold together muscle cells.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Jejunum,Part of the small intestine that resides between the duodenum and the ileum.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Lipolysis,The breakdown and utilization of fat for energy.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Liver,"An organ in the upper-right abdominal cavity with numerous functions, including the production and secretion of bile, which is stored and concentrated in the gall bladder prior to release into the duodenum.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Mastication,The mechanical process whereby the oral muscles break down food.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Mediastinum,"The space in the chest between the lungs that contains all the internal organs of the chest (e.g., heart, esophagus) except the lungs.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Motility,"In the digestive system, refers to movements of the anatomical structures that allow contents to pass through.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Overtraining,"Excessive frequency, volume, or intensity of training, resulting in reduction of performance, which is also caused by a lack of proper rest and recovery.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Pancreas,"An organ with numerous functions, including the production of insulin, glucagon, and digestive juices.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Peripheral resistance,The amount of resistance in the arteries that must be overcome for blood to flow.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Peristalsis,The muscle action of the gastrointestinal system that pushes food through the body during digestion.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Pineal gland,"A small gland in the brain that secretes the hormone melatonin, which helps regulate sleep cycles.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Pituitary gland,"An endocrine gland that controls the secretion of many hormones, including growth hormone.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Reproductive glands,"Glands, such as the ovaries or testes, that serve sex-specific functions.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Respiratory pump,Composed of skeletal structures (bones) and soft tissues (muscles) that work together to allow for proper respiratory mechanics as well as pumping blood back to the heart during inspiration.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Respiratory system,"A bodily system, also known as the pulmonary system, that brings oxygen into the lungs from breathed air while removing carbon dioxide from the lungs into the outside air; includes airways, lungs, and the respiratory muscles.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Resting heart rate (RHR),The number of heart beats per minute while at complete rest.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Sinoatrial (SA) node,"Located in the right atrium, this node initiates an electrical signal that causes the heart to beat.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Smooth muscle,An involuntary nonstriated muscle type that is found in organs.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Stem cells,"Cells within the body that divide and develop into specialized cells, such as brain cells, blood cells, heart cells, and bone cells.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Stroke volume,The amount of blood pumped out of the heart with each contraction.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Substrates,Intermediate forms of nutrients used in metabolic reactions to create adenosine triphosphate.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Tachycardia,When the heart rate is greater than 100 beats per minute.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Tachypnea,Respiratory rate that is too fast; greater than 24 breaths per minute.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Target (receptor) cell,Cell that receives a message from a hormone or enzyme. Target cells exert an action after being stimulated or activated.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Testosterone,A hormone producing secondary male sex characteristics.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Thoracic cavity,Chamber within the chest that contains the heart and lungs.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Thyroid gland,"An endocrine gland, located in the anterior neck, responsible for the secretion of many hormones, including thyroxin and calcitonin.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Valsalva maneuver,"A process that involves expiring against a closed windpipe, creating additional intra-abdominal pressure and spinal stability.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Vasculogenesis,The formation of new capillaries.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Veins,Vessels that transport blood back to the heart.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Venous pooling,The accumulation of blood into the extremities due to slow blood flow though the veins (venous return) or backflow.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Ventricle,Inferior chamber of the heart that pumps blood to the lungs and body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 06,"The Cardiorespiratory, Endocrine, and Digestive Systems",Venules,Small veins that allows blood to drain from capillaries into the larger veins.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Abduction,A movement in the frontal plane away from the midline of the body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Adduction,Movement in the frontal plane back toward the midline of the body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Agonists,The primary muscles providing force for a movement.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Altered length-tension relationship,"When a muscle’s resting length is too short or too long, reducing the amount of force it can produce.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Altered reciprocal inhibition,Occurs when an overactive agonist muscle decreases the neural drive to its functional antagonist.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Amortization phase,The transition from eccentric loading to concentric unloading during the stretch-shortening cycle.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Anatomic position,"The position with the body erect, the arms at the sides, and the palms forward. It is the position of reference for anatomic nomenclature.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Antagonists,Muscles on the opposite side of a joint that are in direct opposition of agonist muscles.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Biomechanics,The science concerned with the internal and external forces acting on the human body and the effects produced by these forces.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Concentric muscle action,"A muscle action that occurs when a muscle is exerting force greater than the resistive force, resulting in a shortening of the muscle.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Core,"The structures that make up the lumbo-pelvic-hip complex (LPHC), including the lumbar spine, pelvic girdle, abdomen, and hip joint.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Dorsiflexion,Flexion occurring at the ankle.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Eccentric muscle action,A muscle action that occurs when a muscle develops tension while lengthening.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Elasticity,The ability of soft tissues to return to resting length after being stretched.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Eversion,A movement in which the inferior calcaneus (heel bone) moves laterally. The bottom of foot faces outward.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Extension,A straightening movement in which the relative angle between two adjacent segments increases.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,External feedback,"Information provided by some external source, such as a fitness professional, video, mirror, or heart rate monitor, to supplement the internal environment.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,External rotation,Rotation of a body segment away from the middle of the body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Feed-forward activation,When a muscle is automatically activated in anticipation of a movement.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Feedback,Use of sensory information and sensorimotor integration to help the human movement system in motor learning.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Flexibility,The normal extensibility of soft tissues that allows for full range of motion of a joint.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Flexion,A bending movement in which the relative angle between two adjacent segments decreases.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Force-couple relationship,The synergistic action of multiple muscles working together to produce movement around a joint.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Force,"An influence applied by one object to another, which results in an acceleration or deceleration of the second object.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Frontal plane,"An imaginary bisector that divides the body into front and back halves. Movement in the frontal plane includes abduction, adduction, and side-to-side motions.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Gait,"Biomechanical motion of the lower extremities during walking, running, and sprinting.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Horizontal abduction,Movement of the arm or thigh in the transverse plane from an anterior position to a lateral position.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Horizontal adduction,Movement of the arm or thigh in the transverse plane from a lateral position to an anterior position.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Human movement system (HMS),"The collective components and structures that work together to move the body: muscular, skeletal, and nervous systems.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Hyperextension,Extension of a joint beyond the normal limit or range of motion.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Hypermobility,"A state where a lack of neuromuscular support leads to a joint having more range of motion than it should, greatly increasing the risk of injury at that joint.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Hypomobility,When range of motion at a joint is limited.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Integrated performance paradigm,"To move with efficiency, forces must be dampened (eccentrically), stabilized (isometrically), and then accelerated (concentrically).",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Internal feedback,Process whereby sensory information is used by the body to reactively monitor movement and the environment.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Internal rotation,Rotation of a body segment toward the middle of the body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Inversion,A movement in which the inferior calcaneus (heel bone) moves medially. Bottom of foot faces inward.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Isometric muscle action,When a muscle is exerting force equal to the force being placed on it leading to no visible change in the muscle length.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Joint support systems,Muscular stabilization systems located in joints distal of the spine.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Lateral flexion,Bending of the spine from side to side.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Length-tension relationship,The resting length of a muscle and the tension the muscle can produce at this resting length.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Motor behavior,Motor response to internal and external environmental stimuli.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Motor control,How the central nervous system integrates internal and external sensory information with previous experiences to produce a motor response.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Motor development,Change in skilled motor behavior over time throughout the life span.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Motor learning,"Integration of motor control processes through practice and experience, leading to a relatively permanent change in the capacity to produce skilled motor behavior.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Muscle action spectrum,"The full range of eccentric, isometric, and concentric muscle contractions required to perform a movement.",Vocab,NASM CPT
