source,topic,question,answer,type,cert,options
NASM Personal Fitness Training: Chapter 09,Chapter 09,"According to current research, what is the optimal range of daily protein intake to maximize muscle protein synthesis?",1.6 to 2.2 g/kg of body weight,Quiz,NASM CPT,1.6 to 2.2 g/kg of body weight|3.5 to 5.0 g/kg of body weight|0.8 to 1.0 g/kg of body weight|2.4 to 3.5 g/kg of body weight
NASM Personal Fitness Training: Chapter 09,Chapter 09,"Apart from energy intake and physical activity, which of the following factors also influence weight management?",Hormones and medications,Quiz,NASM CPT,Hormones and medications|Body temperature|Blood flow|Vitamin and mineral supplements
NASM Personal Fitness Training: Chapter 09,Chapter 09,"During short, high-intensity exercise, what is the primary fuel source for the body?",Carbohydrates,Quiz,NASM CPT,Carbohydrates|Lipids|Proteins|Amino acids
NASM Personal Fitness Training: Chapter 09,Chapter 09,"During the course of a training session, a client remarks that he is ""cutting out all carbs"" from his diet and just eating protein and vegetables to lose weight. How might you best respond to this, while staying within your scope of practice as a fitness professional?","Carbohydrates are an important source of fuel for our body, and it is unnecessary to avoid them for weight loss. Cutting carbs may lead to inadequate fuel for optimal training, which can compromise weight-loss efforts.",Quiz,NASM CPT,"Carbohydrates are an important source of fuel for our body, and it is unnecessary to avoid them for weight loss. Cutting carbs may lead to inadequate fuel for optimal training, which can compromise weight-loss efforts.|Carbohydrates contribute excess calories in our diet, and avoiding them is an effective weight-loss strategy during training.|Carbohydrates are not required unless training for long periods of time; so, as long as sessions are kept short, this strategy should be fine.|Carbohydrates provide more calories per gram than protein and fat, so they should be limited for effective weight loss."
NASM Personal Fitness Training: Chapter 09,Chapter 09,"Which of the following hydration options would be most appropriate for exercise lasting over 90 minutes, or shorter-duration exercise in warm temperatures with heavy perspiration?",Sports drink or electrolyte tablets mixed with water,Quiz,NASM CPT,Sports drink or electrolyte tablets mixed with water|Water mixed with fruit juice|Plain water|Fruit juice
NASM Personal Fitness Training: Chapter 09,Chapter 09,"You hear a client remark that she does not want to include any fat in her diet because she wants to avoid gaining weight. How might you respond, while staying within your scope of practice?",Some fats are essential and required in the diet for important physiological processes. Avoiding all fats might lead to deficiencies.,Quiz,NASM CPT,"Some fats are essential and required in the diet for important physiological processes. Avoiding all fats might lead to deficiencies.|Fats provide more calories per gram than protein and carbohydrate, so avoiding them is a good strategy for weight management.|Fats are not an essential part of our diet and can be limited to avoid unnecessary calories.|Fats can be a source of extra calories in the diet, but they should be eaten to supply adequate energy for our brain."
NASM Personal Fitness Training: Chapter 09,Chapter 09,A client asks you how she could lose fat as quickly as possible for a beach vacation next weekend. Which of the following is the best way to respond to her question?,"Explain that fat loss takes time and is best achieved with a moderate calorie deficit sustained over a period of time. Rapid weight loss usually results in loss of water weight and lean muscle mass, and it is not advisable.",Quiz,NASM CPT,"Explain that fat loss takes time and is best achieved with a moderate calorie deficit sustained over a period of time. Rapid weight loss usually results in loss of water weight and lean muscle mass, and it is not advisable.|Explain that fat loss occurs in a caloric deficit and she should cut her caloric intake drastically over the next week to drop fat fast.|Suggest that she avoid eating carbohydrates during the week to promote fat loss.|Suggest that she avoid eating any fat during the week to promote fat loss."
NASM Personal Fitness Training: Chapter 09,Chapter 09,A client who is training with you to improve his body composition states that he only sleeps 4 or 5 hours a night because he thinks that any more is a waste of time. How might you respond to him in view of his body composition goals?,"Explain that adequate sleep is important in regulating hunger and satiety hormones, and that chronic sleep deprivation is detrimental for weight management.",Quiz,NASM CPT,"Explain that adequate sleep is important in regulating hunger and satiety hormones, and that chronic sleep deprivation is detrimental for weight management.|Explain that 4 or 5 hours may not be enough for his requirements and that he should aim for 6 to 7 hours per day.|Explain that as long as he spends the extra hours engaged in physical activity, he should be able to meet his body composition goals.|Express understanding that he has a busy schedule and that sleep may not be a priority, and explain that this should not affect his body composition goals, as sleep and weight are unrelated."
NASM Personal Fitness Training: Chapter 09,Chapter 09,Carbohydrate intake prior to intense or long-duration exercise serves which of the following functions?,It replenishes glycogen stores and provides adequate fuel for performance.,Quiz,NASM CPT,It replenishes glycogen stores and provides adequate fuel for performance.|It is the primary energy source for low-intensity and long-duration exercise.|It provides adequate energy for muscle protein synthesis during training.|It replenishes depleted amino acid stores prior to high-intensity training.
NASM Personal Fitness Training: Chapter 09,Chapter 09,How many calories are in 1 gram of protein?,4,Quiz,NASM CPT,4|6|9|2
NASM Personal Fitness Training: Chapter 09,Chapter 09,How much fluid is recommended for rehydration after an intense training session or event?,1.25 times the amount of body weight lost during the activity,Quiz,NASM CPT,1.25 times the amount of body weight lost during the activity|Twice the amount of body weight lost during the activity|2 to 3 liters of fluid|12 to 15 ounces of fluid
NASM Personal Fitness Training: Chapter 09,Chapter 09,What are the three categories within the lipid family?,"Triglycerides, phospholipids, and sterols",Quiz,NASM CPT,"Triglycerides, phospholipids, and sterols|Cholesterol, omega-3s, and omega-6s|Saturated, unsaturated, and hydrogenated fats|Saturated fat, unsaturated fat, and cholesterol"
NASM Personal Fitness Training: Chapter 09,Chapter 09,What are the three macronutrients?,"Protein, carbohydrates, and lipids",Quiz,NASM CPT,"Protein, carbohydrates, and lipids|Vitamins, minerals, and phytonutrients|Protein, carbohydrates, and fluids|Carbohydrates, protein, and vitamins"
NASM Personal Fitness Training: Chapter 09,Chapter 09,What is glycogen?,The storage form of carbohydrate in animals and humans,Quiz,NASM CPT,The storage form of carbohydrate in animals and humans|The storage form of carbohydrate in plants|The enzyme that promotes carbohydrate breakdown in humans|The enzyme that promotes carbohydrate storage in humans and animals
NASM Personal Fitness Training: Chapter 09,Chapter 09,What is the optimal amount of protein per meal for muscle protein synthesis?,20 to 40 g,Quiz,NASM CPT,20 to 40 g|15 to 20 g|30 to 50 g|60 to 70 g
NASM Personal Fitness Training: Chapter 09,Chapter 09,What statement best describes the category of simple sugars?,Single- or double-molecule sugars that are easily absorbed by the body,Quiz,NASM CPT,Single- or double-molecule sugars that are easily absorbed by the body|Sugar syrups that are easily absorbed by the body|Sugars that are dissolved into liquid for consumption|Sugars that have been added to packaged foods
NASM Personal Fitness Training: Chapter 09,Chapter 09,What types of foods provide all the essential amino acids?,Animal proteins,Quiz,NASM CPT,Animal proteins|Plant proteins|Legumes|Fortified foods
NASM Personal Fitness Training: Chapter 09,Chapter 09,Which of the following foods is the most likely to be a good source of omega-3 fatty acids?,Salmon,Quiz,NASM CPT,Salmon|Grilled chicken|Beef|Milk
NASM Personal Fitness Training: Chapter 09,Chapter 09,Which of the following vitamins or groups of vitamins plays a key role in energy metabolism?,B vitamins,Quiz,NASM CPT,B vitamins|Vitamin C|Fat-soluble vitamins|Water-soluble vitamins
NASM Personal Fitness Training: Chapter 09,Chapter 09,Which of the following would be a helpful and sustainable strategy for achieving a moderate calorie deficit for fat loss?,Replacing high-calorie foods with leaner substitutes,Quiz,NASM CPT,"Replacing high-calorie foods with leaner substitutes|Avoiding a food group (e.g., fats or carbohydrates)|Limiting meals to once a day|Replacing high-fiber foods with low-fiber options"
NASM Personal Fitness Training: Chapter 09,Chapter 09,Which of the macronutrients has the highest thermic effect of food (TEF)?,Protein,Quiz,NASM CPT,Protein|Carbohydrates|Lipids|Glucose
NASM Personal Fitness Training: Chapter 09,Chapter 09,Which part of a food label would help a client review the ingredients in a food product?,The ingredients list,Quiz,NASM CPT,The ingredients list|The nutrition facts panel|The nutrition label|The percent daily values
NASM Personal Fitness Training: Chapter 09,Chapter 09,You read an article in a popular magazine explaining the weight-loss benefits of including a certain nutrient in your diet. What should you consider in deciding if this is credible nutrition information?,"Is the information supported by research, and has it been reviewed by other qualified individuals?",Quiz,NASM CPT,"Is the information supported by research, and has it been reviewed by other qualified individuals?|Has the information been reported on the news and in other media?|Is the nutrient available as a supplement, given the purported weight-loss benefits?|Is the magazine article in a recent publication or is it outdated?"
NASM Personal Fitness Training: Chapter 10,Chapter 10,"Compared to water-soluble vitamins, which of the following is true about fat-soluble vitamins?",Fat-soluble vitamins take longer to accumulate in and deplete from the body.,Quiz,NASM CPT,Fat-soluble vitamins take longer to accumulate in and deplete from the body.|Fat-soluble vitamins are better for improving overall health.|Fat-soluble vitamins accumulate in and deplete quickly from the body.|Fat-soluble vitamins are not as healthy because fat is unhealthy.
NASM Personal Fitness Training: Chapter 10,Chapter 10,Accumulating too much of a vitamin or mineral in the body may lead to what?,Toxicity,Quiz,NASM CPT,Toxicity|Improved performance|Deficiency|Better outcomes
NASM Personal Fitness Training: Chapter 10,Chapter 10,Can supplements contain food allergens?,"Yes, and if they do contain allergens, they should be listed on the label.",Quiz,NASM CPT,"Yes, and if they do contain allergens, they should be listed on the label.|No, because supplements are not food.|No, because supplements are not real food.|Yes, but only if the supplement is sourced from whole foods."
NASM Personal Fitness Training: Chapter 10,Chapter 10,The B vitamins have a primary role in what?,Macronutrient metabolism,Quiz,NASM CPT,Macronutrient metabolism|Muscle contraction|Hydration|Cancer prevention
NASM Personal Fitness Training: Chapter 10,Chapter 10,The most well-known and well-researched effect of omega-3 fats relates to which of the following?,Heart health,Quiz,NASM CPT,Heart health|Athletic performance|Endocrine health|Bone health
NASM Personal Fitness Training: Chapter 10,Chapter 10,What is the best definition of essential when discussing human nutrition?,"Must be obtained in the diet, as the body is incapable of producing the nutrient on its own",Quiz,NASM CPT,"Must be obtained in the diet, as the body is incapable of producing the nutrient on its own|Contained within healthy food items|Needed to build muscle|Another word for macronutrients"
NASM Personal Fitness Training: Chapter 10,Chapter 10,What percentage of alpha-linolenic acid (ALA) converts to a biologically available form called eicosapentaenoic acid (EPA)?,About 5-15%,Quiz,NASM CPT,About 5-15%|About 30%|About 50%|About 90%
NASM Personal Fitness Training: Chapter 10,Chapter 10,Which of the following is a banned substance in the United States?,Dimethylamylamine (DMAA),Quiz,NASM CPT,Dimethylamylamine (DMAA)|Caffeine|Creatine|Hordenine
NASM Personal Fitness Training: Chapter 10,Chapter 10,Which of the following is a major nutritional contributor to muscle protein synthesis?,The essential amino acids,Quiz,NASM CPT,The essential amino acids|Vitamins|Minerals|Caffeine
NASM Personal Fitness Training: Chapter 10,Chapter 10,Which of the following is true about the biologically active forms of vitamins?,Biologically active forms are most effective for augmenting body levels.,Quiz,NASM CPT,Biologically active forms are most effective for augmenting body levels.|Biologically active forms lead to toxicity.|Biologically active forms lead to deficiency.|Biologically active forms are less efficient.
NASM Personal Fitness Training: Chapter 10,Chapter 10,Which of the following is true of protein shakes?,They are convenient options for increasing protein intake.,Quiz,NASM CPT,They are convenient options for increasing protein intake.|They are required to build muscle.|They are dangerous and should be avoided.|They are a poor choice for recovery.
NASM Personal Fitness Training: Chapter 10,Chapter 10,Which organization must approve a supplement prior to it being sold?,Supplements do not require approval prior to sale.,Quiz,NASM CPT,Supplements do not require approval prior to sale.|Food and Drug Administration (FDA)|World Anti-Doping Agency (WADA)|European Food Safety Authority (EFSA)
NASM Personal Fitness Training: Chapter 10,Chapter 10,Which two electrolytes are most commonly supplemented by athletes to replace those lost in sweat?,Sodium and potassium,Quiz,NASM CPT,Sodium and potassium|Sodium and calcium|Magnesium and sodium|Potassium and manganese
NASM Personal Fitness Training: Chapter 10,Chapter 10,Which vitamin has an increased risk of causing toxicity?,Vitamin A,Quiz,NASM CPT,Vitamin A|Vitamin C|Vitamin B12|Vitamin B6
NASM Personal Fitness Training: Chapter 10,Chapter 10,Which vitamin is the most transient?,Vitamin C,Quiz,NASM CPT,Vitamin C|Vitamin D|Vitamin E|Vitamin A
NASM Personal Fitness Training: Chapter 11,Chapter 11,For which population is the 1.5-mile (2.4-km) run test considered most valid?,College-aged athletes,Quiz,NASM CPT,College-aged athletes|Older adults|Individuals recovering from an injury|Deconditioned individuals
NASM Personal Fitness Training: Chapter 11,Chapter 11,The PAR-Q+ and preparticipation process reflects what three health indicators?,"An individual's current level of physical activity, the presence of signs and symptoms of disease, and the individual's desired exercise intensity",Quiz,NASM CPT,"An individual's current level of physical activity, the presence of signs and symptoms of disease, and the individual's desired exercise intensity|An individual's current level of physical activity, age, and weight|An individual's desired exercise intensity, body composition, and gender|An individual's habits related to exercise, diet, and sleep"
NASM Personal Fitness Training: Chapter 11,Chapter 11,What does BMI (body mass index) assess for?,Whether a person's weight is appropriate for their height,Quiz,NASM CPT,Whether a person's weight is appropriate for their height|Body fat and lean mass composition|Overall level of physical fitness|An accurate measure of obesity status for all individuals
NASM Personal Fitness Training: Chapter 11,Chapter 11,What is the most valid measurement of aerobic fitness?,VO2max,Quiz,NASM CPT,"VO2max |YMCA 3-minute step test |Rockport walk test |1.5-mile (2.4-km) run test"
NASM Personal Fitness Training: Chapter 11,Chapter 11,What location on the body does NASM recommend for measuring the resting heart rate?,Radial pulse,Quiz,NASM CPT,Radial pulse|Carotid pulse|Pedal pulse|Femoral pulse
NASM Personal Fitness Training: Chapter 11,Chapter 11,What step height is used for the YMCA 3-minute step test?,12 inches,Quiz,NASM CPT,12 inches|16 inches|14 inches|10 inches
NASM Personal Fitness Training: Chapter 11,Chapter 11,Where is the appropriate location to take a waist circumference measurement?,"At the narrowest point of the waist, below the rib cage and just above the top of the hip bones (while standing)",Quiz,NASM CPT,"At the narrowest point of the waist, below the rib cage and just above the top of the hip bones (while standing)|At the widest portion of the buttocks (while standing with feet together)|At the largest circumference immediately below the gluteal fold (while standing)|At the widest point of the waist (while seated)"
NASM Personal Fitness Training: Chapter 11,Chapter 11,Which of the following blood pressure readings would classify an individual as having stage 1 hypertension?,135/80 mm Hg,Quiz,NASM CPT,135/80 mm Hg|118/78 mm Hg|124/80 mm Hg|143/92 mm Hg
NASM Personal Fitness Training: Chapter 11,Chapter 11,Which of the following intensities best represents VT2 during the incremental test protocol?,"When the individual responds with ""no"" when asked, “Can you speak competently?”",Quiz,NASM CPT,"When the individual responds with ""no"" when asked, “Can you speak competently?”|When the individual responds with ""yes"" when asked, “Can you speak competently?”|When the individual says it is ""somewhat easy"" to talk during the activity|When the individual says it is ""challenging"" to speak during the activity"
NASM Personal Fitness Training: Chapter 11,Chapter 11,Which of the following represents a criterion for terminating an exercise test or exercise bout that involves exertion?,Any indication of chest pain or angina-like symptoms,Quiz,NASM CPT,Any indication of chest pain or angina-like symptoms|An elevation of systolic blood pressure to 220 mm Hg|Labored or heavy breathing associated with exertion|Failure of diastolic blood pressure to rise by more than 15 mm Hg
NASM Personal Fitness Training: Chapter 12,Chapter 12,"Which muscle would be considered overactive, leading to shoulder elevation during the pushing assessment?",Upper trapezius,Quiz,NASM CPT,Latissimus dorsi|Upper trapezius|Infraspinatus|Lower trapezius
NASM Personal Fitness Training: Chapter 12,Chapter 12,"Which muscle would be considered overactive, leading to the low back arching during the overhead squat assessment?",Hip flexor complex,Quiz,NASM CPT,Gluteus maximus|Hamstrings complex|Gluteus medius|Hip flexor complex
NASM Personal Fitness Training: Chapter 12,Chapter 12,"Which muscle would be considered underactive, leading to arms falling forward in the overhead squat assessment?",Middle and lower trapezius,Quiz,NASM CPT,Middle and lower trapezius|Pectoralis major|Latissimus dorsi|Teres major
NASM Personal Fitness Training: Chapter 12,Chapter 12,"Which muscle would be considered underactive, leading to shoulder elevation during the pulling assessment?",Lower trapezius,Quiz,NASM CPT,Cervical extensors|Serratus anterior|Upper trapezius|Lower trapezius
NASM Personal Fitness Training: Chapter 12,Chapter 12,"Which muscle would be considered underactive, leading to shoulder elevation during the pushing assessment?",Lower trapezius,Quiz,NASM CPT,Lower trapezius|Cervical extensors|Serratus anterior|Upper trapezius
NASM Personal Fitness Training: Chapter 12,Chapter 12,"Which muscle would be considered underactive, leading to the excessive forward trunk lean during the overhead squat assessment?",Gluteus maximus,Quiz,NASM CPT,Hip flexor complex|Gastrocnemius and soleus|Gluteus maximus|Rectus abdominis
NASM Personal Fitness Training: Chapter 12,Chapter 12,"Which muscle would be considered underactive, leading to the low back arching during the overhead squat assessment?",Gluteus maximus,Quiz,NASM CPT,Latissimus dorsi|Gluteus maximus|Hip flexor complex|Lumbar extensors
NASM Personal Fitness Training: Chapter 12,Chapter 12,"Which of the following tests is designed to test reaction capabilities, acceleration, and maximal sprinting speed?",40-yard dash,Quiz,NASM CPT,Overhead squat|Lower extremity functional test (LEFT)|40-yard dash|Pro shuttle
NASM Personal Fitness Training: Chapter 12,Chapter 12,For which movement impairment would you see the knees bow outward?,Knee varus,Quiz,NASM CPT,Knee dominance|Knee varus|Knee valgus|Excessive anterior pelvic tilt
NASM Personal Fitness Training: Chapter 12,Chapter 12,How is lower crossed syndrome characterized?,Anterior pelvic tilt and excessive lordosis of the lumbar spine,Quiz,NASM CPT,"Anterior pelvic tilt and excessive kyphosis of the lumbar spine|Flat feet, knee valgus, and internally rotated and adducted hips|Posterior pelvic tilt and excessive lordosis of the lumbar spine|Anterior pelvic tilt and excessive lordosis of the lumbar spine"
NASM Personal Fitness Training: Chapter 12,Chapter 12,How often is it recommended to reassess clientele?,Every month,Quiz,NASM CPT,Every year|Every 6 months|Every week|Every month
NASM Personal Fitness Training: Chapter 12,Chapter 12,What depth is suggested for the overhead squat assessment?,Femur parallel to ground,Quiz,NASM CPT,Femur parallel to ground|Knees to 45 degrees|Butt to heels|Full-depth squat
NASM Personal Fitness Training: Chapter 12,Chapter 12,What do you visualize to detect the movement impairment of knee valgus?,The knees collapsing inward,Quiz,NASM CPT,The knees bowing outward|An upright trunk and knees in front of toes|The knees collapsing inward|The hip shifting toward one side or the other
NASM Personal Fitness Training: Chapter 12,Chapter 12,What do you visualize to detect the movement impairment shoulder elevation?,The shoulders moving upward toward the ears,Quiz,NASM CPT,The trunk leaning forward|The arms falling forward|The shoulders moving upward toward the ears|The scapula protruding excessively from the back
NASM Personal Fitness Training: Chapter 12,Chapter 12,When is a muscle considered overactive?,"When it is in a state of elevated neural activity (compared to its antagonist muscle), which causes the muscle to be held in a chronic state of contraction",Quiz,NASM CPT,"When it is in a state of elevated neural activity (compared to its antagonist muscle), which causes the muscle to be held in a chronic state of relaxation|When a muscle is elongated and in a state of reduced neural activity|When it is in a state of elevated neural activity (compared to its antagonist muscle), which causes the muscle to be held in a chronic state of contraction|When a muscle is experiencing neural inhibition and limited neuromuscular recruitment"
NASM Personal Fitness Training: Chapter 12,Chapter 12,Which movement assessment is a global observation of the entire kinetic chain and recommended as the first movement assessment to use with all clients?,Overhead squat,Quiz,NASM CPT,Pulling assessment|Single-leg squat|Pushing assessment|Overhead squat
NASM Personal Fitness Training: Chapter 12,Chapter 12,Which movement assessment is a good assessment of a client's balance during movement?,Single-leg squat,Quiz,NASM CPT,Overhead squat|Push-up test|40-yard dash|Single-leg squat
NASM Personal Fitness Training: Chapter 12,Chapter 12,Which muscle(s) may be overactive with knee valgus during the overhead squat?,Tensor fascia latae and adductor complex,Quiz,NASM CPT,"Tensor fascia latae and adductor complex |Gluteus maximus and medius |Hip flexors |Upper trapezius"
NASM Personal Fitness Training: Chapter 12,Chapter 12,Which muscles are typically overactive in association with lower crossed syndrome?,Hip flexors and lumbar extensors,Quiz,NASM CPT,Adductor complex|Hip flexors and lumbar extensors|Abdominals|Upper trapezius
NASM Personal Fitness Training: Chapter 12,Chapter 12,Which muscles are typically overactive in association with upper crossed syndrome?,Upper trapezius,Quiz,NASM CPT,Hip flexors|Lower trapezius|Adductor complex|Upper trapezius
NASM Personal Fitness Training: Chapter 12,Chapter 12,Which muscles are typically overactive when the feet turn out?,Gastrocnemius and soleus,Quiz,NASM CPT,Upper trapezius|Gastrocnemius and soleus|Hip flexors|Adductor complex
NASM Personal Fitness Training: Chapter 12,Chapter 12,Which muscles are typically underactive when the feet turn out?,Anterior and posterior tibialis,Quiz,NASM CPT,Anterior and posterior tibialis|Adductor complex|Abdominals|Upper trapezius
NASM Personal Fitness Training: Chapter 12,Chapter 12,Which of the following exercises is typically used to measure maximum strength of the lower extremities?,Squat,Quiz,NASM CPT,Overhead squat|Squat|Single-leg squat|Lunge
NASM Personal Fitness Training: Chapter 12,Chapter 12,Which of the following exercises is typically used to measure maximum strength of the upper extremities during a pushing movement?,Bench press strength assessment,Quiz,NASM CPT,Bench press strength assessment|Overhead press assessment|Pulling assessment|Pushing assessment
NASM Personal Fitness Training: Chapter 12,Chapter 12,Which of the following tests is used to measure lateral speed and agility?,Lower extremity functional test (LEFT),Quiz,NASM CPT,Vertical jump|Lower extremity functional test (LEFT)|40-yard dash|Pro shuttle
NASM Personal Fitness Training: Chapter 12,Chapter 12,Which of the following tests is used to measure lower-extremity power?,Vertical jump,Quiz,NASM CPT,Lower extremity functional test (LEFT)|40-yard dash|Pro shuttle|Vertical jump
NASM Personal Fitness Training: Chapter 12,Chapter 12,Which postural distortion is characterized by anterior pelvic tilt and excessive lordosis (extension) of the lumbar spine?,Lower crossed syndrome,Quiz,NASM CPT,Pes planus distortion syndrome|Excessive pronation|Upper crossed syndrome|Lower crossed syndrome
NASM Personal Fitness Training: Chapter 12,Chapter 12,Which type of assessment assesses the alignment of the body while in motion?,Dynamic posture assessment,Quiz,NASM CPT,Dynamic posture assessment|Overhead squat assessment|Performance assessment|Static posture assessment
NASM Personal Fitness Training: Section 1 Review,Professional Development And Responsibility,"According to the NASM Code of Professional Conduct, for how long must a fitness professional maintain accurate financial, contract, appointment, and tax records?",4 years,Quiz,NASM CPT,4 years|1 year|6 months|Indefinitely
NASM Personal Fitness Training: Section 1 Review,Professional Development And Responsibility,"At her annual physical, Claire found out her blood pressure was 110/70 mm Hg. According to this information, which statement is true?",Her diastolic pressure is 70.,Quiz,NASM CPT,Her diastolic pressure is 70.|Her systolic pressure is 70.|She has hypertension.|She needs to modify her diet to bring down her blood pressure.
NASM Personal Fitness Training: Section 1 Review,Professional Development And Responsibility,"At her first visit to her new fitness trainer, Alisha's BMI was 26. According to this information, how would Alisha be classified?",Overweight,Quiz,NASM CPT,Overweight|Obese|Healthy weight|Underweight
NASM Personal Fitness Training: Section 1 Review,Professional Development And Responsibility,"At his first visit to his new fitness trainer, Robert's BMI was 37. According to this information, how would Robert be classified?",Obese,Quiz,NASM CPT,Obese|Overweight|Healthy weight|Underweight
NASM Personal Fitness Training: Section 1 Review,Professional Development And Responsibility,"Before studying to become an NASM Certified Personal Trainer, Kim worked as a copywriter for a large ad agency. Now that she is working as a personal trainer at a fitness studio, she is looking for additional income opportunities. Which of the following would provide her with the best option for increasing her earning potential?",Marketing her services as a writer to create blogs and social media posts for her studio as well as other fitness professionals in her area,Quiz,NASM CPT,Marketing her services as a writer to create blogs and social media posts for her studio as well as other fitness professionals in her area|Becoming an NASM Master Instructor|College football conditioning coach|College instructor
NASM Personal Fitness Training: Section 1 Review,Professional Development And Responsibility,"Beth is considering opportunities for how to begin her career as a fitness professional. If her primary goal is to earn a stable income by helping clients reach their fitness goals, which of the following would provide the best option?",Working for a premium health club company,Quiz,NASM CPT,Working for a premium health club company|Working for a low-cost health club company|Offering in-home training services|Creating online coaching programs
NASM Personal Fitness Training: Section 1 Review,Professional Development And Responsibility,"Bridget, an NASM Certified Personal Trainer, is looking for ways to satisfy her CEU requirement. Which of the following would be an accepted means to fulfill this requirement?","Completing an NASM specialization worth 1.9 CEUs, along with a CPR/AED course for 0.1 CEUs",Quiz,NASM CPT,"Completing an NASM specialization worth 1.9 CEUs, along with a CPR/AED course for 0.1 CEUs|Attending an 8-hour fitness seminar|Reading a textbook on a related fitness topic|Completing an approved CEU course for 0.9 CEUs, along with the CPR/AED for 0.1 CEUs"
NASM Personal Fitness Training: Section 1 Review,Professional Development And Responsibility,"Dan, an NASM Certified Personal Trainer, completed what he felt was a very successful interview with the hiring manager at a top fitness studio. What is the best course of action if Dan is interested in moving on to the next phase of the interview process?",Writing a handwritten note to thank the hiring manager for the opportunity to interview for the job,Quiz,NASM CPT,"Writing a handwritten note to thank the hiring manager for the opportunity to interview for the job|Sending a text to the manager saying, “Thanks for your time.”|Calling the manager to ask when the first day of work will be scheduled|Posting a video on social media showing him working out at the health club"
NASM Personal Fitness Training: Section 1 Review,Professional Development And Responsibility,"During an interview with the hiring manager at a large health club, Sarah, an NASM Certified Personal Trainer, is asked how she can contribute as a personal trainer even though she has no formal experience working in the field. What would be the most appropriate response?","Sarah discusses her previous work experience in a busy day care, where she had to multitask multiple times a day to perform her job duties. She thinks the multitasking helped prepare her for the demands of a busy fitness floor.",Quiz,NASM CPT,"Sarah discusses her previous work experience in a busy day care, where she had to multitask multiple times a day to perform her job duties. She thinks the multitasking helped prepare her for the demands of a busy fitness floor.|Sarah discusses her experience as a high school athlete. Because she was a good athlete, she thinks she will be a good personal trainer.|Sarah mentions her experience training for figure competitions. She thinks that experience means that she can help clients train for their competitions.|Sarah mentions her experience as a cashier at a snack bar. She thinks this demonstrates her ability to run a cash register and complete daily cash reports."
NASM Personal Fitness Training: Section 1 Review,Professional Development And Responsibility,"For a Certified Personal Trainer, what would provide the most time-efficient option for increasing income potential?",Learning how to lead group training programs,Quiz,NASM CPT,Learning how to lead group training programs|Pursuing a degree in exercise science|Becoming a registered dietitian nutritionist (RDN) to provide nutritional counseling|Earning a massage therapy license to be able to offer massage treatments
NASM Personal Fitness Training: Section 1 Review,Professional Development And Responsibility,"In a SWOT analysis, which of the following would be an example of a strength?",Having the NASM-CPT credential,Quiz,NASM CPT,Having the NASM-CPT credential|Taking a workshop to learn more about sales and marketing for fitness professionals|Needing to learn more about marketing and sales|Competition from the other health clubs and training studios in the immediate area
NASM Personal Fitness Training: Section 1 Review,Professional Development And Responsibility,"Jessica is looking to grow in her career as a personal trainer. Which employment option would offer her the best chance to provide mentorship to fitness professionals, use managerial skills, and respond directly to member needs when necessary?",Fitness manager,Quiz,NASM CPT,Fitness manager|General manager|Strength and conditioning coach|Master instructor
NASM Personal Fitness Training: Section 1 Review,Professional Development And Responsibility,"Karim, an NASM Certified Personal Trainer, recently retired from playing professional football and is beginning his career in the fitness industry. How can Karim best promote his experience as a professional athlete?",Karim’s experience as a professional athlete allows him to create a unique selling proposition (USP) allowing club members to exercise with a former professional athlete.,Quiz,NASM CPT,Karim’s experience as a professional athlete allows him to create a unique selling proposition (USP) allowing club members to exercise with a former professional athlete.|Karim’s experience as a professional athlete allows him to establish immediate rapport with club members and potential clients.|Karim’s experience as a professional athlete allows him to establish a recognizable brand identity.|Karim’s experience as a professional athlete gives him the ability to create an accurate business forecast.
NASM Personal Fitness Training: Section 1 Review,Professional Development And Responsibility,"Mac, an NASM-CPT, has been working as a personal trainer at a health club for almost 3 years. He has consistently received positive job evaluations, making him eligible for a promotion. What opportunity would be the most appropriate to pursue, given his experience?",Fitness manager,Quiz,NASM CPT,Fitness manager|General manager|Area fitness manager|Group fitness manager
NASM Personal Fitness Training: Section 1 Review,Professional Development And Responsibility,"Prior to ever working with a client, what is the most important priority when starting an independent personal training business?",Purchasing liability insurance and appropriate business licenses,Quiz,NASM CPT,Purchasing liability insurance and appropriate business licenses|Having consistent names on all social media accounts|Purchasing fitness equipment|Designing a website to advertise personal training services
NASM Personal Fitness Training: Section 1 Review,Professional Development And Responsibility,"Rather than simply designing workout programs to change appearance, the modern personal trainer has evolved to a professional responsible for producing which of the following?",Improving overall health and movement quality for their clients,Quiz,NASM CPT,Improving overall health and movement quality for their clients|Designing meal plans that can help clients shed unwanted fat|Helping clients get shredded to stand out and gain more followers on social media|Creating exercise programs to heal injured body parts
NASM Personal Fitness Training: Section 1 Review,Professional Development And Responsibility,"Recently, what has become an effective way to deliver customized exercise solutions to clients based on their individual needs?",Offering online coaching programs,Quiz,NASM CPT,Offering online coaching programs|Teaching group fitness workouts|Offering customized meal plans for each client|Creating exercise programs to heal injured body parts
